id;secid;shortname;regnumber;name;isin;is_traded;emitent_id;emitent_title;emitent_inn;emitent_okpo;gosreg;type;group;primary_boardid;marketprice_boardid
4560;SU46020RMFS2;ОФЗ 46020;46020RMFS;ОФЗ-АД 46020 06/02/36;RU000A0GN9A7;1;1374788;Министерство финансов Российской Федерации;7710168360;;46020RMFS;ofz_bond;stock_bonds;TQOB;TQOB
8004;SU46023RMFS6;ОФЗ 46023;46023RMFS;ОФЗ-АД 46023 23/07/26;RU000A0JRTL6;1;1374788;Министерство финансов Российской Федерации;7710168360;;46023RMFS;ofz_bond;stock_bonds;TQOB;TQOB
150748;SU52002RMFS1;ОФЗ 52002;52002RMFS;ОФЗ-ИН 52002 02/02/28;RU000A0ZYZ26;1;1374788;Министерство финансов Российской Федерации;7710168360;;52002RMFS;ofz_bond;stock_bonds;TQOB;TQOB
411943913;SU52003RMFS9;ОФЗ 52003;52003RMFS;ОФЗ-ИН 52003;RU000A102069;1;1374788;Министерство финансов Российской Федерации;7710168360;;52003RMFS;ofz_bond;stock_bonds;TQOB;TQOB
414509345;SU52004RMFS7;ОФЗ 52004;52004RMFS;ОФЗ-ИН 52004 17/03/32;RU000A103MX5;1;1374788;Министерство финансов Российской Федерации;7710168360;;52004RMFS;ofz_bond;stock_bonds;TQOB;TQOB
422387879;SU52005RMFS4;ОФЗ 52005;52005RMFS;ОФЗ-ИН 52005 11/05/33;RU000A105XV1;1;1374788;Министерство финансов Российской Федерации;7710168360;;52005RMFS;ofz_bond;stock_bonds;TQOB;TQOB
412761601;SU53007RMFS9;ОФЗн 53007;53007RMFS;ОФЗ-Н 53007 07/02/24;RU000A102P00;1;1374788;Министерство финансов Российской Федерации;7710168360;;53007RMFS;ofz_bond;stock_bonds;PSBB;
414220975;SU53008RMFS7;ОФЗн 53008;53008RMFS;ОФЗ-Н 53008 14/08/24;RU000A103GG2;1;1374788;Министерство финансов Российской Федерации;7710168360;;53008RMFS;ofz_bond;stock_bonds;PSBB;
416000389;SU53009RMFS5;ОФЗн 53009;53009RMFS;ОФЗ-Н 53009 12/02/25;RU000A104HX3;1;1374788;Министерство финансов Российской Федерации;7710168360;;53009RMFS;ofz_bond;stock_bonds;PSBB;
414554393;US900123AL40;TUR-30;;Republic of Turkey 15/01/30;US900123AL40;1;1376035;The Republic of Turkey;5321;;;ofz_bond;stock_bonds;RPMO;
414554395;US900123AW05;TUR-25;;The Republic of Turkey 02/25;US900123AW05;1;1376035;The Republic of Turkey;5321;;;ofz_bond;stock_bonds;RPMO;
414765651;US900123CF53;TUR-24;;Republic of Turkey 22/03/24;US900123CF53;1;1376035;The Republic of Turkey;5321;;;ofz_bond;stock_bonds;RPMO;
138003599;US912810EY02;UST-26_3;;Government of the USA 15/11/26;US912810EY02;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
138003601;US912810FB99;UST-27;;Government of the USA 15/11/27;US912810FB99;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
132288571;US912810FE39;UST-28;;Government of the USA 5.5;US912810FE39;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
156232585;US912810FS25;UST-26_4;;Government of the USA 15/01/26;US912810FS25;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
223952557;US912810QX90;UST-42;;Government of the USA 15/08/42;US912810QX90;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
132288573;US9128284V99;UST-28_2;;Government of the USA 2.875;US9128284V99;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
138003605;US9128287B09;UST-26_2;;Government of the USA 30/06/26;US9128287B09;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
138003607;US912828R366;UST-26;;Government of the USA 15/05/26;US912828R366;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
414765655;US912828YE44;UST-24;;Government of the USA 31/08/24;US912828YE44;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
414554397;US91282CBL46;UST-31;;Government of the USA 15/02/31;US91282CBL46;1;1374809;Government of the United States of America;4757;;;ofz_bond;stock_bonds;RPMO;
3886;XS0088543193;RUS-28;MK-0-CM-119;ГОВОЗ РФ МК-0-СМ-119 (XS);XS0088543193;1;1374788;Министерство финансов Российской Федерации;7710168360;;MK-0-CM-119;ofz_bond;stock_bonds;TQOD;TQOD
3888;XS0114288789;RUS-30;SK-0-CM-128;ГОВОЗ РФ SK-0-CM-128 (XS);XS0114288789;1;1374788;Министерство финансов Российской Федерации;7710168360;;SK-0-CM-128;ofz_bond;stock_bonds;TQOD;TQOD
12627;XS0767473852;RUS-42;12840061V;ГОВОЗ РФ 12840061V (XS);XS0767473852;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840061V;ofz_bond;stock_bonds;TQOD;TQOD
28547;XS0971721963;RUS-43;12840069V;ГОВОЗ РФ 12840069V (XS);XS0971721963;1;1374788;Министерство финансов Российской Федерации;7710168360;;12840069V;ofz_bond;stock_bonds;TQOD;TQOD
271347895;XS1120709826;KAZ-44;;REPUBLIC OF KAZAKHSTAN 4.875;XS1120709826;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;RPMO;
104299;XS1207654853;ARM-25;;Republic Armenia 7.15 GOV;XS1207654853;1;838169;Republic of Armenia, Ministry of Finance;4226;;;ofz_bond;stock_bonds;RPMO;
96521;XS1263054519;KAZ-25;;Republic Kazakhstan 5.125 GOV;XS1263054519;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;RPMO;
271347897;XS1263139856;KAZ-45;;REPUBLIC OF KAZAKHSTAN 6.5;XS1263139856;1;1375047;Республика Казахстан в лице Министерства финансов Республики Казахстан;4884;;;ofz_bond;stock_bonds;RPMO;
87923615;XS1634369224;BLR-27;;Republic of Belarus 29/6/27;XS1634369224;1;2389;Республика Беларусь в лице Министерства финансов Республики Беларусь;100691903;;;ofz_bond;stock_bonds;TQOD;TQOD
417175151;XS1676401414;TJK-27;;Republic of Tajikistan 09/27;XS1676401414;1;1377485;Republic of Tajikistan;5495;;;ofz_bond;stock_bonds;RPMO;
414554399;XS1750113661;OMN-28;;Sultanate of Oman 17/01/28;XS1750113661;1;1376031;Sultanate of Oman, Ministry of Finance;5319;;;ofz_bond;stock_bonds;RPMO;
87923617;XS1760804184;BLR-30;;Republic of Belarus 28/02/30;XS1760804184;1;2389;Республика Беларусь в лице Министерства финансов Республики Беларусь;100691903;;;ofz_bond;stock_bonds;TQOD;TQOD
